46141,1:3,2:2,3:10,4:9,5:1,6:7,7:4,8:5,9:8,10:6
27581,1:10,2:8,3:1,4:5,5:9,6:4,7:7,8:2,9:6,10:3
30500,1:6,2:7,3:9,4:3,5:2,6:1,7:10,8:4,9:8,10:5
44022,1:2,2:1,3:10,4:8,5:3,6:7,7:9,8:5,9:4,10:6
79844,1:1,2:5,3:8,4:2,5:9,6:3,7:7,8:10,9:4,10:6
53827,1:3,2:1,3:8,4:2,5:10,6:5,7:9,8:6,9:4,10:7
19605,1:10,2:1,3:3,4:5,5:7,6:4,7:9,8:8,9:2,10:6
16002,1:4,2:1,3:9,4:5,5:8,6:7,7:10,8:3,9:2,10:6
66108,1:5,2:4,3:3,4:6,5:8,6:1,7:2,8:9,9:10,10:7
27891,1:10,2:6,3:5,4:2,5:3,6:9,7:1,8:8,9:4,10:7
91102,1:2,2:4,3:10,4:9,5:1,6:7,7:6,8:3,9:8,10:5
48339,1:7,2:1,3:9,4:6,5:2,6:10,7:5,8:4,9:3,10:8
97659,1:9,2:10,3:1,4:4,5:5,6:3,7:8,8:7,9:6,10:2
36517,1:5,2:4,3:1,4:7,5:3,6:9,7:6,8:8,9:10,10:2
83391,1:8,2:4,3:5,4:3,5:6,6:10,7:2,8:9,9:7,10:1
19445,1:9,2:10,3:7,4:8,5:2,6:5,7:6,8:1,9:3,10:4
16893,1:1,2:7,3:4,4:6,5:8,6:9,7:3,8:2,9:10,10:5
77954,1:3,2:4,3:10,4:6,5:2,6:5,7:1,8:9,9:7,10:8
13809,1:4,2:5,3:1,4:8,5:2,6:9,7:10,8:7,9:6,10:3
93563,1:1,2:10,3:3,4:7,5:4,6:8,7:6,8:2,9:9,10:5
26185,1:3,2:8,3:2,4:7,5:6,6:5,7:1,8:4,9:9,10:10
37254,1:5,2:3,3:9,4:8,5:2,6:6,7:7,8:1,9:4,10:10
696,1:6,2:5,3:10,4:2,5:8,6:3,7:7,8:9,9:4,10:1
49273,1:9,2:5,3:1,4:8,5:6,6:10,7:7,8:2,9:3,10:4
38323,1:1,2:8,3:2,4:10,5:6,6:9,7:4,8:3,9:5,10:7
91788,1:3,2:6,3:4,4:9,5:1,6:7,7:5,8:10,9:2,10:8
4306,1:2,2:6,3:9,4:8,5:5,6:4,7:1,8:7,9:3,10:10
